name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Poniachik Pollak, Karen",Michelle Bachelet,2006-03-11,2010-03-11,Comisión Nacional de Energía,2006-03-11,2007-03-27,381,40,2006,1,1,0,0,1,0,0
"Uriarte Rodríguez, Ana Lya",Michelle Bachelet,2006-03-11,2010-03-11,Comisión Nacional de Medio Ambiente,2007-03-26,2010-03-11,1081,44,2007,1,0,0,0,0,0,0
"Ampuero Espinoza, Roberto",Sebastián Piñera,2010-03-11,2014-03-11,Consejo Nacional de la Cultura y las Artes,2013-06-09,2014-03-11,275,57,2013,0,0,0,0,0,0,0
"Weinstein Cayuela, José",Ricardo Lagos,2000-03-11,2006-03-11,Consejo Nacional de la Cultura y las Artes,2003-08-06,2006-03-11,948,44,2003,0,2,0,0,1,1,0
"Urrutia Fernández, Paulina",Michelle Bachelet,2006-03-11,2010-03-11,Consejo Nacional de la Cultura y las Artes,2006-03-11,2010-03-11,1461,37,2006,1,1,0,0,1,0,0
"Abeliuk Manasevic, René",Patricio Aylwin,1990-03-11,1994-03-11,CORFO,1990-03-11,1994-03-11,1461,59,1990,0,0,0,0,0,0,0
"Fernández Baeza, Mario",Ricardo Lagos,2000-03-11,2006-03-11,Defensa Nacional,2000-03-11,2002-01-07,667,52,2000,0,1,0,0,1,0,0
"Goñi Carrasco, José",Michelle Bachelet,2006-03-11,2010-03-11,Defensa Nacional,2007-03-26,2009-03-12,717,59,2007,0,0,0,0,0,0,0
"Ravinet de La Fuente, Jaime",Ricardo Lagos,2000-03-11,2006-03-11,Defensa Nacional,2004-10-01,2006-03-11,526,57,2004,0,3,1,0,1,1,0
"Ravinet de La Fuente, Jaime",Sebastián Piñera,2010-03-11,2014-03-11,Defensa Nacional,2010-03-11,2011-01-14,309,63,2010,0,3,1,0,0,1,1
"Rojas Saavedra, Patricio",Patricio Aylwin,1990-03-11,1994-03-11,Defensa Nacional,1990-03-11,1994-03-11,1461,57,1990,0,2,0,0,1,1,0
"Troncoso Castillo, Raúl",Eduardo Frei,1994-03-11,2000-03-11,Defensa Nacional,1998-01-16,1998-08-01,197,62,1998,0,1,1,0,0,0,0
"Vidal Salinas, Francisco",Michelle Bachelet,2006-03-11,2010-03-11,Defensa Nacional,2009-03-12,2010-03-11,364,55,2009,0,2,1,0,1,0,0
"Bachelet Jeria, Michelle",Ricardo Lagos,2000-03-11,2006-03-11,Defensa Nacional,2002-01-07,2004-09-29,996,50,2002,1,2,0,0,1,1,0
"Blanlot Soza, Vivianne",Michelle Bachelet,2006-03-11,2010-03-11,Defensa Nacional,2006-03-11,2007-03-26,380,50,2006,1,3,1,0,1,1,0
"Baranda Ferran, Bruno",Sebastián Piñera,2010-03-11,2014-03-11,Desarrollo Social,2013-06-09,2014-03-11,275,49,2013,0,2,0,0,1,0,1
"Ferreiro Yazigi, Alejandro",Michelle Bachelet,2006-03-11,2010-03-11,"Economía, Fomento y Reconstrucción",2006-07-14,2008-01-08,543,40,2006,0,3,1,0,1,1,0
"Lavados Montes, Hugo",Michelle Bachelet,2006-03-11,2010-03-11,"Economía, Fomento y Reconstrucción",2008-01-08,2010-03-11,793,58,2008,0,2,1,0,0,0,1
"Leiva Lavalle, Jorge",Eduardo Frei,1994-03-11,2000-03-11,"Economía, Fomento y Reconstrucción",1998-08-01,2000-03-11,588,59,1998,0,0,0,0,0,0,0
"Rodríguez Grossi, Jorge",Ricardo Lagos,2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción",2001-06-19,2006-03-11,1726,53,2001,0,2,1,0,0,0,1
"Antonijevic Hahn, Ingrid",Michelle Bachelet,2006-03-11,2010-03-11,"Economía, Fomento y Reconstrucción",2006-03-11,2006-07-14,125,53,2006,1,2,1,0,0,0,1
"De Vicente Mingo, Felix",Sebastián Piñera,2010-03-11,2014-03-11,"Economía, Fomento y Turismo",2013-05-07,2014-03-11,308,50,2013,0,0,0,0,0,0,0
"Longueira Montes, Pablo",Sebastián Piñera,2010-03-11,2014-03-11,"Economía, Fomento y Turismo",2011-07-18,2013-04-29,651,52,2011,0,1,0,1,0,0,0
"Arrate Mac Niven, Jorge",Patricio Aylwin,1990-03-11,1994-03-11,Educación,1992-09-28,1994-03-11,529,51,1992,0,3,1,0,1,1,0
"Beyer Burgos, Harald",Sebastián Piñera,2010-03-11,2014-03-11,Educación,2011-12-29,2013-04-18,476,47,2011,0,2,0,0,1,1,0
"Bitar Chacra, Sergio",Ricardo Lagos,2000-03-11,2006-03-11,Educación,2003-03-03,2005-12-14,1017,62,2003,0,3,0,1,1,1,0
"Molina Silva, Sergio",Eduardo Frei,1994-03-11,2000-03-11,Educación,1994-09-26,1996-09-28,733,65,1994,0,3,1,0,1,1,0
"Schiefelbein Fuenzalida, Ernesto",Eduardo Frei,1994-03-11,2000-03-11,Educación,1994-03-11,1994-09-20,193,59,1994,0,2,0,0,1,1,0
"Zilic Hrepic, Martín",Michelle Bachelet,2006-03-11,2010-03-11,Educación,2006-03-11,2006-07-14,125,58,2006,0,0,0,0,0,0,0
"Hornkohl Venegas, Marigen",Ricardo Lagos,2000-03-11,2006-03-11,Educación,2005-12-14,2006-03-11,87,52,2005,1,1,1,0,0,0,0
"Provoste Campillay, Yasna",Michelle Bachelet,2006-03-11,2010-03-11,Educación,2006-07-14,2008-04-03,629,36,2006,1,1,0,0,1,0,0
"Echeverría Vial, Fernando",Sebastián Piñera,2010-03-11,2014-03-11,Energía,2011-07-18,2011-07-21,3,57,2011,0,2,0,0,1,0,1
"Golborne Riveros, Laurence",Sebastián Piñera,2010-03-11,2014-03-11,Energía,2011-01-16,2011-07-18,183,49,2011,0,1,0,0,0,0,1
"Rainieri Bernain, Ricardo",Sebastián Piñera,2010-03-11,2014-03-11,Energía,2010-03-11,2011-01-14,309,48,2010,0,1,0,0,1,0,0
"Álvarez Zenteno, Rodrigo",Sebastián Piñera,2010-03-11,2014-03-11,Energía,2011-07-22,2012-03-27,249,44,2011,0,1,0,1,0,0,0
"Bates Hidalgo, Luis",Ricardo Lagos,2000-03-11,2006-03-11,Justicia,2003-03-03,2006-03-11,1104,68,2003,0,1,0,0,1,0,0
"Cumplido Cereceda, Francisco",Patricio Aylwin,1990-03-11,1994-03-11,Justicia,1990-03-11,1994-03-11,1461,59,1990,0,1,0,0,1,0,0
"Gómez Urrutia, José Antonio",Ricardo Lagos,2000-03-11,2006-03-11,Justicia,2000-03-11,2003-03-03,1087,46,2000,0,0,0,0,0,0,0
"Gómez Urrutia, José Antonio",Eduardo Frei,1994-03-11,2000-03-11,Justicia,1999-12-15,2000-03-11,87,45,1999,0,0,0,0,0,0,0
"Solís Palma, Isidro",Michelle Bachelet,2006-03-11,2010-03-11,Justicia,2006-03-11,2007-03-27,381,51,2006,0,2,1,0,1,0,0
"Pérez Goldberg, Patricia",Sebastián Piñera,2010-03-11,2014-03-11,Justicia,2012-12-17,2014-03-11,449,38,2012,1,0,0,0,0,0,0
"Benítez Pereira, María Ignacia",Sebastián Piñera,2010-03-11,2014-03-11,Medio Ambiente,2010-03-11,2014-03-11,1461,57,2010,1,0,0,0,0,0,0
"Maira Aguirre, Luis",Eduardo Frei,1994-03-11,2000-03-11,MIDEPLAN,1994-03-11,1996-09-28,932,53,1994,0,2,0,1,1,0,0
"Molina Silva, Sergio",Patricio Aylwin,1990-03-11,1994-03-11,MIDEPLAN,1990-03-11,1994-03-11,1461,61,1990,0,3,1,0,1,1,0
"Quintana Peña, Germán",Eduardo Frei,1994-03-11,2000-03-11,MIDEPLAN,1998-05-19,2000-03-11,662,38,1998,0,2,0,0,1,1,0
"Hardy Raskovan , Clarisa",Michelle Bachelet,2006-03-11,2010-03-11,MIDEPLAN,2006-03-11,2008-01-08,668,60,2006,1,2,1,0,1,0,0
"Provoste Campillay, Yasna",Ricardo Lagos,2000-03-11,2006-03-11,MIDEPLAN,2004-09-29,2006-03-11,528,34,2004,1,1,0,0,1,0,0
"Pérez Díaz, Cecilia",Ricardo Lagos,2000-03-11,2006-03-11,MIDEPLAN,2002-01-07,2003-03-03,420,35,2002,1,0,0,0,0,0,0
"Quintana Meléndez, Paula",Michelle Bachelet,2006-03-11,2010-03-11,MIDEPLAN,2008-01-08,2010-03-11,793,42,2008,1,0,0,0,0,0,0
"De Solminihac Tampier, Hernán",Sebastián Piñera,2010-03-11,2014-03-11,Minería,2011-07-18,2014-03-11,967,53,2011,0,0,0,0,0,0,0
